Case_ID,Timestamp,Type,Sensor,Label,Activity_ID
2022-09-06,2022-09-06 08:33:01.478350525,FloorSensor,sens4_C,C,118
2022-09-06,2022-09-06 08:33:04.306777649,FloorSensor,sense1_C,C,118
2022-09-06,2022-09-06 08:33:34.306777649,FloorSensor,sense1_C,C,119
2022-09-06,2022-09-06 08:34:04.306777649,FloorSensor,sense1_C,C,120
2022-09-06,2022-09-06 08:34:34.306777649,FloorSensor,sense1_C,C,121
2022-09-06,2022-09-06 08:35:04.306777649,FloorSensor,sense1_C,C,122
2022-09-07,2022-09-07 08:15:19.163260781,PresenceSensor,door_B,B,123
2022-09-07,2022-09-07 08:18:17.991687905,FloorSensor,sens1_B,B,124
2022-09-07,2022-09-07 08:18:47.991687905,FloorSensor,sens1_B,B,125
2022-09-07,2022-09-07 08:19:17.991687905,FloorSensor,sens1_B,B,126
2022-09-07,2022-09-07 08:19:47.991687905,FloorSensor,sens1_B,B,127
2022-09-07,2022-09-07 08:20:12.820115029,FloorSensor,sens4_B,B,128
2022-09-07,2022-09-07 08:20:15.648542153,FloorSensor,sens3_B,B,128
2022-09-07,2022-09-07 08:20:45.648542153,FloorSensor,sens3_B,B,129
2022-09-07,2022-09-07 08:21:15.648542153,FloorSensor,sens3_B,B,130
2022-09-07,2022-09-07 08:21:45.648542153,FloorSensor,sens3_B,B,131
2022-09-07,2022-09-07 08:22:15.648542153,FloorSensor,sens3_B,B,132
2022-09-07,2022-09-07 08:22:45.648542153,FloorSensor,sens3_B,B,133
2022-09-07,2022-09-07 08:22:55.476969277,FloorSensor,sens2_B,B,133
2022-09-07,2022-09-07 08:23:25.476969277,FloorSensor,sens2_B,B,134
2022-09-07,2022-09-07 08:23:55.476969277,FloorSensor,sens2_B,B,135
2022-09-07,2022-09-07 08:24:25.476969277,FloorSensor,sens2_B,B,136
2022-09-08,2022-09-08 08:02:20.995711781,PresenceSensor,door_B,B,137
2022-09-08,2022-09-08 08:02:26.031245686,FloorSensor,sens1_B,B,137
2022-09-08,2022-09-08 08:02:56.031245686,FloorSensor,sens1_B,B,138
2022-09-08,2022-09-08 08:03:26.031245686,FloorSensor,sens1_B,B,139
2022-09-08,2022-09-08 08:03:56.031245686,FloorSensor,sens1_B,B,140
2022-09-08,2022-09-08 08:04:26.031245686,FloorSensor,sens1_B,B,141
2022-09-08,2022-09-08 08:04:56.031245686,FloorSensor,sens1_B,B,142
2022-09-08,2022-09-08 08:05:28.066779591,FloorSensor,sens2_B,B,143
2022-09-08,2022-09-08 08:05:58.066779591,FloorSensor,sens2_B,B,144
2022-09-08,2022-09-08 08:06:28.066779591,FloorSensor,sens2_B,B,145
2022-09-08,2022-09-08 08:06:58.066779591,FloorSensor,sens2_B,B,146
2022-09-08,2022-09-08 08:07:28.066779591,FloorSensor,sens2_B,B,147
2022-09-08,2022-09-08 08:07:58.066779591,FloorSensor,sens2_B,B,148
2022-09-08,2022-09-08 08:08:09.480993153,FloorSensor,sens3_B,B,149
2022-09-08,2022-09-08 08:08:39.480993153,FloorSensor,sens3_B,B,150
2022-09-08,2022-09-08 08:09:09.480993153,FloorSensor,sens3_B,B,151
2022-09-08,2022-09-08 08:09:39.480993153,FloorSensor,sens3_B,B,152
2022-09-08,2022-09-08 08:10:09.480993153,FloorSensor,sens3_B,B,153
2022-09-08,2022-09-08 08:10:19.516527058,FloorSensor,sens4_B,B,153
2022-09-09,2022-09-09 08:19:55.117634562,PresenceSensor,door_D,D,154
2022-09-09,2022-09-09 08:20:00.531848124,FloorSensor,sens2_D,D,155
2022-09-09,2022-09-09 08:20:30.531848124,FloorSensor,sens2_D,D,156
