Start Time,End Time,door_A,sens3_A,sens4_A,sens2_A,sens1_A,door_B,sens4_B,sens3_B,sens2_B,sens1_B,door_C,sens4_C,sens2_C,sens3_C,sense1_C,door_D,sens1_D,sens3_D,sens2_D,sens4_D,Label
2022-09-03 08:28:12.341889881,2022-09-03 08:28:12.341889881,,,,,,,,,,,,,,,,,,1,,,D
2022-09-03 08:30:02.756103443,2022-09-03 08:30:07.584530567,,,,,,,,,,,,,,,,,1,1,,,D
2022-09-03 08:30:37.584530567,2022-09-03 08:30:37.584530567,,,,,,,,,,,,,,,,,1,,,,D
2022-09-03 08:31:07.584530567,2022-09-03 08:31:07.584530567,,,,,,,,,,,,,,,,,1,,,,D
2022-09-03 08:31:37.584530567,2022-09-03 08:31:37.584530567,,,,,,,,,,,,,,,,,1,,,,D
2022-09-03 08:32:07.584530567,2022-09-03 08:32:07.584530567,,,,,,,,,,,,,,,,,1,,,,D
2022-09-04 08:04:17.175540343,2022-09-04 08:04:21.211074248,1,,1,,,,,,,,,,,,,,,,,,A
2022-09-04 08:04:51.211074248,2022-09-04 08:04:51.211074248,,,1,,,,,,,,,,,,,,,,,,A
2022-09-04 08:05:21.211074248,2022-09-04 08:05:21.211074248,,,1,,,,,,,,,,,,,,,,,,A
2022-09-04 08:05:51.211074248,2022-09-04 08:05:51.211074248,,,1,,,,,,,,,,,,,,,,,,A
2022-09-04 08:06:21.211074248,2022-09-04 08:06:23.246608153,,1,1,,,,,,,,,,,,,,,,,,A
2022-09-04 08:06:53.246608153,2022-09-04 08:06:53.246608153,,1,,,,,,,,,,,,,,,,,,,A
2022-09-04 08:07:23.246608153,2022-09-04 08:07:23.246608153,,1,,,,,,,,,,,,,,,,,,,A
2022-09-04 08:07:53.246608153,2022-09-04 08:07:53.246608153,,1,,,,,,,,,,,,,,,,,,,A
2022-09-04 08:08:23.246608153,2022-09-04 08:08:23.246608153,,1,,,,,,,,,,,,,,,,,,,A
2022-09-04 08:08:53.246608153,2022-09-04 08:08:53.246608153,,1,,,,,,,,,,,,,,,,,,,A
2022-09-04 08:09:15.110569182,2022-09-04 08:09:15.110569182,,,,,1,,,,,,,,,,,,,,,,A
2022-09-04 08:11:14.524782744,2022-09-04 08:11:19.146103087,,,,1,1,,,,,,,,,,,,,,,,A
2022-09-04 08:12:38.459811583,2022-09-04 08:12:38.459811583,,,,,,,,,,1,,,,,,,,,,,B
2022-09-04 08:13:08.459811583,2022-09-04 08:13:08.459811583,,,,,,,,,,1,,,,,,,,,,,B
2022-09-04 08:13:38.459811583,2022-09-04 08:13:38.459811583,,,,,,,,,,1,,,,,,,,,,,B
2022-09-04 08:14:08.459811583,2022-09-04 08:14:08.459811583,,,,,,,,,,1,,,,,,,,,,,B
2022-09-04 08:14:38.459811583,2022-09-04 08:14:38.459811583,,,,,,,,,,1,,,,,,,,,,,B
2022-09-04 08:15:08.459811583,2022-09-04 08:15:08.459811583,,,,,,,,,,1,,,,,,,,,,,B
2022-09-04 08:15:38.288238707,2022-09-04 08:15:42.323772612,,,,,,,1,1,,,,,,,,,,,,,B
2022-09-04 08:16:12.323772612,2022-09-04 08:16:12.323772612,,,,,,,,1,,,,,,,,,,,,,B
2022-09-04 08:16:42.323772612,2022-09-04 08:16:42.323772612,,,,,,,,1,,,,,,,,,,,,,B
2022-09-04 08:17:12.323772612,2022-09-04 08:17:12.323772612,,,,,,,,1,,,,,,,,,,,,,B
2022-09-04 08:20:06.394840422,2022-09-04 08:20:09.809053984,,,,,,,1,,1,,,,,,,,,,,,B
2022-09-04 08:20:39.809053984,2022-09-04 08:20:39.809053984,,,,,,,,,1,,,,,,,,,,,,B
2022-09-04 08:21:09.809053984,2022-09-04 08:21:09.809053984,,,,,,,,,1,,,,,,,,,,,,B
2022-09-04 08:21:39.809053984,2022-09-04 08:21:53.329869261,,,,,,,1,,1,,1,,,,1,,,,,,B
2022-09-04 08:22:23.329869261,2022-09-04 08:22:23.329869261,,,,,,,,,,,,,,,1,,,,,,C
2022-09-04 08:22:53.329869261,2022-09-04 08:22:53.329869261,,,,,,,,,,,,,,,1,,,,,,C
2022-09-04 08:23:23.329869261,2022-09-04 08:23:23.329869261,,,,,,,,,,,,,,,1,,,,,,C
2022-09-04 08:23:53.329869261,2022-09-04 08:23:53.329869261,,,,,,,,,,,,,,,1,,,,,,C
2022-09-04 08:24:23.329869261,2022-09-04 08:24:23.329869261,,,,,,,,,,,,,,,1,,,,,,C
2022-09-04 08:24:33.572509947,2022-09-04 08:24:33.572509947,,,,,,,,,,,,,1,,,,,,,,C
2022-09-04 08:25:03.572509947,2022-09-04 08:25:03.572509947,,,,,,,,,,,,,1,,,,,,,,C
2022-09-04 08:25:33.572509947,2022-09-04 08:25:33.572509947,,,,,,,,,,,,,1,,,,,,,,C
2022-09-04 08:28:12.436470976,2022-09-04 08:28:12.436470976,,,,,,,,,,,,1,,,,,,,,,C
2022-09-04 08:31:03.886218443,2022-09-04 08:31:03.886218443,,,,,,,,,,,,,,1,,,,,,,C
2022-09-04 08:31:33.886218443,2022-09-04 08:31:33.886218443,,,,,,,,,,,,,,1,,,,,,,C
2022-09-04 08:32:03.886218443,2022-09-04 08:32:03.886218443,,,,,,,,,,,,,,1,,,,,,,C
2022-09-04 08:32:33.886218443,2022-09-04 08:32:33.886218443,,,,,,,,,,,,,,1,,,,,,,C
2022-09-04 08:33:03.886218443,2022-09-04 08:33:03.886218443,,,,,,,,,,,,,,1,,,,,,,C
2022-09-04 08:33:33.886218443,2022-09-04 08:33:50.371499815,,,,,,,,,,,,,,1,,,,,1,,C
2022-09-04 08:34:20.371499815,2022-09-04 08:34:20.371499815,,,,,,,,,,,,,,,,,,,1,,D
2022-09-04 08:34:50.371499815,2022-09-04 08:34:50.371499815,,,,,,,,,,,,,,,,,,,1,,D
2022-09-04 08:35:17.199926939,2022-09-04 08:35:17.199926939,,,,,,,,,,,,,,,,,,1,,,D
2022-09-04 08:36:19.614140501,2022-09-04 08:36:24.442567625,,,,,,,,,,,,,,,,,1,1,,,D
2022-09-04 08:36:54.442567625,2022-09-04 08:36:54.442567625,,,,,,,,,,,,,,,,,1,,,,D
2022-09-04 08:37:24.442567625,2022-09-04 08:37:24.442567625,,,,,,,,,,,,,,,,,1,,,,D
2022-09-04 08:37:54.442567625,2022-09-04 08:37:54.442567625,,,,,,,,,,,,,,,,,1,,,,D
2022-09-05 08:19:27.538776343,2022-09-05 08:19:27.538776343,1,,,,,,,,,,,,,,,,,,,,A
2022-09-05 08:19:32.781417029,2022-09-05 08:19:32.781417029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-05 08:20:02.781417029,2022-09-05 08:20:02.781417029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-05 08:20:32.781417029,2022-09-05 08:20:32.781417029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-05 08:22:29.266698401,2022-09-05 08:22:29.266698401,,,,1,,,,,,,,,,,,,,,,,A
2022-09-05 08:22:32.680911963,2022-09-05 08:22:32.680911963,,,1,,,,,,,,,,,,,,,,,,A
2022-09-05 08:23:02.680911963,2022-09-05 08:23:02.680911963,,,1,,,,,,,,,,,,,,,,,,A
2022-09-05 08:23:32.680911963,2022-09-05 08:23:32.680911963,,,1,,,,,,,,,,,,,,,,,,A
2022-09-05 08:24:02.680911963,2022-09-05 08:24:24.095125525,,,1,,1,,,,,,,,,,,,,,,,A
2022-09-05 08:25:59.923552649,2022-09-05 08:25:59.923552649,,,,,1,,,,,,,,,,,,,,,,A
2022-09-05 08:26:02.751979773,2022-09-05 08:26:17.444367926,,,1,,,1,,1,,,,,,,,,,,,,B
2022-09-05 08:26:47.444367926,2022-09-05 08:26:47.444367926,,,,,,,,1,,,,,,,,,,,,,B
2022-09-05 08:27:17.444367926,2022-09-05 08:27:17.444367926,,,,,,,,1,,,,,,,,,,,,,B
2022-09-05 08:27:47.444367926,2022-09-05 08:27:47.444367926,,,,,,,,1,,,,,,,,,,,,,B
2022-09-05 08:28:17.444367926,2022-09-05 08:28:23.065688269,,,,,,,1,1,,,,,,,,,,,,,B
2022-09-05 08:30:19.894115393,2022-09-05 08:30:22.722542517,,,,,,,1,,1,,,,,,,,,,,,B
2022-09-05 08:30:52.722542517,2022-09-05 08:30:52.722542517,,,,,,,,,1,,,,,,,,,,,,B
2022-09-05 08:31:22.722542517,2022-09-05 08:31:22.722542517,,,,,,,,,1,,,,,,,,,,,,B
2022-09-05 08:31:53.379396765,2022-09-05 08:31:53.379396765,,,,,,,,,,1,,,,,,,,,,,B
2022-09-05 08:32:23.379396765,2022-09-05 08:32:23.379396765,,,,,,,,,,1,,,,,,,,,,,B
2022-09-05 08:32:53.379396765,2022-09-05 08:32:53.379396765,,,,,,,,,,1,,,,,,,,,,,B
2022-09-05 08:33:23.379396765,2022-09-05 08:33:24.207823889,,,,,,,1,,,1,,,,,,,,,,,B
2022-09-05 08:33:32.071784918,2022-09-05 08:33:40.349959509,,,,,,,,,,,1,1,1,,,,,,,,C
2022-09-05 08:34:10.349959509,2022-09-05 08:34:10.349959509,,,,,,,,,,,,,1,,,,,,,,C
2022-09-05 08:34:40.349959509,2022-09-05 08:34:40.349959509,,,,,,,,,,,,,1,,,,,,,,C
2022-09-05 08:35:10.349959509,2022-09-05 08:35:10.349959509,,,,,,,,,,,,,1,,,,,,,,C
2022-09-05 08:35:40.349959509,2022-09-05 08:35:40.349959509,,,,,,,,,,,,,1,,,,,,,,C
2022-09-05 08:37:10.799706976,2022-09-05 08:37:10.799706976,,,,,,,,,,,,,,,1,,,,,,C
2022-09-05 08:37:40.799706976,2022-09-05 08:37:40.799706976,,,,,,,,,,,,,,,1,,,,,,C
2022-09-05 08:38:10.799706976,2022-09-05 08:38:10.799706976,,,,,,,,,,,,,,,1,,,,,,C
2022-09-05 08:38:40.799706976,2022-09-05 08:38:40.799706976,,,,,,,,,,,,,,,1,,,,,,C
2022-09-05 08:39:08.421027319,2022-09-05 08:39:08.421027319,,,,,,,,,,,,1,,,,,,,,,C
2022-09-05 08:40:58.077881567,2022-09-05 08:40:58.077881567,,,,,,,,,,,,,,1,,,,,,,C
2022-09-05 08:41:28.077881567,2022-09-05 08:41:28.077881567,,,,,,,,,,,,,,1,,,,,,,C
2022-09-05 08:41:58.077881567,2022-09-05 08:41:58.077881567,,,,,,,,,,,,,,1,,,,,,,C
2022-09-05 08:42:28.077881567,2022-09-05 08:42:28.077881567,,,,,,,,,,,,,,1,,,,,,,C
2022-09-05 08:42:58.077881567,2022-09-05 08:42:58.077881567,,,,,,,,,,,,,,1,,,,,,,C
2022-09-05 08:43:28.077881567,2022-09-05 08:43:28.077881567,,,,,,,,,,,,,,1,,,,,,,C
2022-09-05 08:43:43.113415472,2022-09-05 08:43:49.113415472,,,,,,,,,,,,,,,,1,1,,,,D
2022-09-05 08:44:19.113415472,2022-09-05 08:44:19.113415472,,,,,,,,,,,,,,,,,1,,,,D
2022-09-05 08:44:49.113415472,2022-09-05 08:44:49.113415472,,,,,,,,,,,,,,,,,1,,,,D
2022-09-05 08:45:19.113415472,2022-09-05 08:45:19.113415472,,,,,,,,,,,,,,,,,1,,,,D
2022-09-05 08:45:49.113415472,2022-09-05 08:45:49.113415472,,,,,,,,,,,,,,,,,1,,,,D
2022-09-05 08:46:19.113415472,2022-09-05 08:46:19.113415472,,,,,,,,,,,,,,,,,1,,,,D
2022-09-05 08:46:44.527629034,2022-09-05 08:46:48.563162939,,,,,,,,,,,,,,,,,,,1,1,D
2022-09-05 08:47:18.563162939,2022-09-05 08:47:18.563162939,,,,,,,,,,,,,,,,,,,1,,D
2022-09-05 08:47:48.563162939,2022-09-05 08:47:48.563162939,,,,,,,,,,,,,,,,,,,1,,D
2022-09-05 08:48:18.563162939,2022-09-05 08:48:21.770269720,,,,,,,,,,,,,,,,,,1,1,,D
2022-09-06 08:07:50.009106343,2022-09-06 08:07:55.251747029,1,1,,,,,,,,,,,,,,,,,,,A
2022-09-06 08:08:25.251747029,2022-09-06 08:08:25.251747029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-06 08:08:55.251747029,2022-09-06 08:08:55.251747029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-06 08:11:02.737028401,2022-09-06 08:11:06.151241963,,,1,1,,,,,,,,,,,,,,,,,A
2022-09-06 08:11:36.151241963,2022-09-06 08:11:36.151241963,,,1,,,,,,,,,,,,,,,,,,A
2022-09-06 08:12:06.151241963,2022-09-06 08:12:06.151241963,,,1,,,,,,,,,,,,,,,,,,A
2022-09-06 08:12:36.151241963,2022-09-06 08:12:36.151241963,,,1,,,,,,,,,,,,,,,,,,A
2022-09-06 08:13:06.151241963,2022-09-06 08:13:06.151241963,,,1,,,,,,,,,,,,,,,,,,A
